Prioritet,Fas,Sektion,ID,Testpunkt,Förväntat resultat,Release blocker,Känd issue,Status,Anteckningar,Testare,Datum
3,Fas 3,3.2 Pause → save,F3-07,Continue → samma våg samma stats (ungefär),Run återställs,Nej,Nej,,,,
3,Fas 3,3.2 Pause → save,F3-08,Pause mitt i våg: fiender borta vid continue — by design,Våg omstart stats kvar,Nej,Nej,,,,
3,Fas 4,4.1 Layout,F4-01,Shop UI läsbart; inga överlappande texter,Läsbar shop,Ja,Nej,,,,
3,Fas 4,4.1 Layout,F4-02,Carousel: Previous / Next byter erbjudande,Carousel fungerar,Nej,Nej,,,,
3,Fas 4,4.1 Layout,F4-03,BUY köper valt erbjudande,Köp fungerar,Ja,Nej,,,,
3,Fas 4,4.1 Layout,F4-04,Start Game / starta nästa våg fungerar,Nästa våg startar,Ja,Nej,,,,
3,Fas 4,4.1 Layout,F4-05,Stat-rader (HP bunker ammo damage) visar vettiga värden,Korrekta stats,Nej,Nej,,,,
3,Fas 4,4.1 Layout,F4-06,Multiradstext i shop-grid har rimlig radavstånd,Typografi OK,Nej,Nej,,,,
3,Fas 4,4.2 Köptyper,F4-07,HP — ökar hjälte-HP,HP ökar,Nej,Nej,,,,
3,Fas 4,4.2 Köptyper,F4-08,Bunker repair — bunker-HP upp,Bunker reparerad,Nej,Nej,,,,
3,Fas 4,4.2 Köptyper,F4-09,Vapen-unlock — nytt vapen equippas/används,Vapen unlock,Nej,Nej,,,,
3,Fas 4,4.2 Köptyper,F4-10,Ammo refill — ammo ökar,Ammo ökar,Nej,Nej,,,,
3,Fas 4,4.2 Köptyper,F4-11,Otillräckliga pengar → inget köp / felton,Inget köp vid för lite pengar,Nej,Nej,,,,
5,Fas 5,Vapen,F5-01,Startvapen: skjut reload ammo HUD,Fungerar,Nej,Nej,,,,
5,Fas 5,Vapen,F5-02,Machine gun: skjut reload ammo HUD shop-unlock,Fungerar,Nej,Nej,,,,
5,Fas 5,Vapen,F5-03,Bazooka: skjut reload ammo HUD shop-unlock,Fungerar,Nej,Ja,Ammo-räknare känd bugg,,,
5,Fas 5,Vapen,F5-04,Flamethrower: skjut reload ammo HUD shop-unlock,Fungerar,Nej,Nej,,,,
5,Fas 5,Vapen,F5-05,Tesla: skjut reload ammo HUD shop-unlock,Fungerar,Nej,Nej,,,,
5,Fas 5,Vapen,F5-06,Bazooka rocket: skjut ammo HUD shop-unlock,Fungerar,Nej,Nej,,,,
5,Fas 6,6.1 Paratrooper,F6-01,Skjuter åt rätt håll (inte baklänges),Rätt riktning,Nej,Nej,Retest fix,,,
5,Fas 6,6.1 Paratrooper,F6-02,MP40/helmet drop vid död — rimlig höjd på marken,Rimlig drop-höjd,Nej,Nej,,,,
5,Fas 6,6.1 Paratrooper,F6-03,Fallskärm försvinner efter granatkast,Ingen fallskärm kvar,Nej,Nej,,,,
5,Fas 6,6.1 Paratrooper,F6-04,Loot försvinner när vågen är klar (innan shop),Loot rensad,Nej,Nej,,,,
5,Fas 6,6.1 Paratrooper,F6-05,Staplade paratroopers i glide: ingen flicker/sortering-kaos,Stabil sorting,Nej,Ja,Retest,,,
5,Fas 6,6.2 Flyg,F6-06,Bomb drone utanför skärm — försvinner/ej soft-lock (~5 s),Ingen soft-lock,Nej,Nej,,,,
5,Fas 6,6.2 Flyg,F6-07,Helikopter / bombplan: dropp inom synlig combat band,Dropp i band,Nej,Nej,,,,
5,Fas 6,6.2 Flyg,F6-08,Flygljud hörs; notera om för tyst,Hörbart flyg,Nej,Ja,Volym känd issue,,,
5,Fas 6,6.3 Explosioner,F6-09,Explosion hörs vid granat/missil/bomb,Explosion SFX,Nej,Ja,Kan saknas,,,
5,Fas 6,6.3 Explosioner,F6-10,Explosion VFX syns,VFX syns,Nej,Nej,,,,
5,Fas 6,6.4 Boss,F6-11,Boss spawnar på boss-våg,Boss spawnar,Nej,Nej,,,,
5,Fas 6,6.4 Boss,F6-12,Kan besegras utan soft-lock,Boss besegrad,Nej,Nej,,,,
5,Fas 6,6.4 Boss,F6-13,Boss-musik spelar,Boss-musik,Nej,Nej,,,,
4,Fas 7,7.1 Life Over,F7-01,~3 sekunders delay innan Life Over visas (inte instant),3 s delay,Nej,Nej,,,,
4,Fas 7,7.1 Life Over,F7-02,Life Over UI syns och är läsbart,UI synlig,Nej,Nej,,,,
4,Fas 7,7.1 Life Over,F7-03,Go to Shop fungerar → shop öppnas,Shop öppnas,Nej,Nej,,,,
4,Fas 7,7.1 Life Over,F7-04,Retry / Start Game (samma våg) fungerar,Retry fungerar,Nej,Nej,,,,
4,Fas 7,7.1 Life Over,F7-05,Go to Main Menu fungerar; save finns kvar för Continue,Meny + save kvar,Nej,Nej,,,,
4,Fas 7,7.2 Efter retry,F7-06,Retry startar om samma våg,Samma våg omstart,Nej,Nej,,,,
4,Fas 7,7.2 Efter retry,F7-07,Bunker kan vara fullad vid retry (enligt design),Bunker fullad,Nej,Nej,,,,
4,Fas 7,7.2 Efter retry,F7-08,Loot/projektiler rensade vid life retry,Rensad scen,Nej,Nej,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-01,Förlora liv 1 → Life Over → retry,Life Over liv 1,Ja,Nej,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-02,Förlora liv 2 → Life Over → retry,Life Over liv 2,Ja,Nej,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-03,Förlora liv 3 → Game Over UI visas,Game Over visas,Ja,Ja,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-04,Game Over-panel synlig och klickbar,Klickbar panel,Ja,Ja,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-05,Restart / continue-alternativ fungerar,Navigation fungerar,Ja,Nej,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-06,Save raderas efter game over,Save borta,Ja,Nej,,,,
1,Fas 8,8.1 Game Over (3 liv),F8-07,Huvudmeny: Continue borta efter game over,Continue dold,Ja,Nej,,,,
1,Fas 8,8.2 Dev-genväg,F8-08,WaveConfig Open GameOver Directly → Game Over UI direkt,Dev shortcut fungerar,Nej,Ja,,,,
1,Fas 8,8.2 Dev-genväg,F8-09,Samma klickbarhet som naturlig väg,Samma UX,Ja,Ja,,,,
2,Fas 9,Save/load,F9-01,Nytt spel → pause → meny → Continue,Samma våg + stats,Ja,Nej,,,,
2,Fas 9,Save/load,F9-02,Mitt i våg → pause → Continue,Våg omstart stats kvar,Ja,Nej,By design,,,
2,Fas 9,Save/load,F9-03,Stäng spelet mitt i run → starta → Continue,Samma progress,Ja,Nej,,,,
2,Fas 9,Save/load,F9-04,Start Game med befintlig save,Save borta; ny run,Ja,Nej,,,,
2,Fas 9,Save/load,F9-05,Game over,Save borta,Ja,Nej,,,,
2,Fas 9,Save/load,F9-06,Vinna alla 15 vågor (eller dev),Save borta,Ja,Nej,,,,
8,Fas 10,Balans,F10-B1,Har du alltid råd med nödvändiga köp?,Ekonomi rimlig,Nej,Nej,,,,
8,Fas 10,Balans,F10-B2,Blir våg 11–15 orimligt snabba/långsamma?,Balans OK,Nej,Nej,,,,
8,Fas 10,Balans,F10-B3,Behöver du grind i shop för att klara?,Ingen onödig grind,Nej,Nej,,,,
7,Fas 11,Hierarchy,F11-00,CombatBands: ett profil-band aktivt; parent alltid aktivt,Korrekt hierarchy,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F01,Paratrooper skjuter inte baklänges,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F02,MP40-drop höjd vid landningsdöd,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F03,Ingen fallskärm efter granat,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F04,Bomb drone off-screen self-destruct,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F05,3 liv (inte 4),Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F06,Menyknappar (main menu settings back shop life over),Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F07,HUD pause + hearts,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F08,LifeOver 3 s delay,Fix håller,Nej,Nej,,,,
9,Fas 12,Fixade sedan rc1,F12-F09,Resolution scaling (matris),Fix håller,Nej,Nej,,,,
9,Fas 12,Öppna issues,F12-O01,Bazooka ammo i HUD,Dokumentera status,Nej,Ja,,,,
9,Fas 12,Öppna issues,F12-O02,Explosion SFX,Dokumentera status,Nej,Ja,,,,
9,Fas 12,Öppna issues,F12-O03,Aircraft-volym,Dokumentera status,Nej,Ja,,,,
9,Fas 12,Öppna issues,F12-O04,Paratrooper glide stack,Dokumentera status,Nej,Ja,,,,
9,Fas 12,Öppna issues,F12-O05,Game Over efter 3:e liv,Dokumentera status,Ja,Ja,,,,
,Fas 13,Game Won,F13-01,Klara våg 15 / game won-flöde,Vinst-flöde,Nej,Nej,,,,
,Fas 13,Game Won,F13-02,Game Won UI syns,UI synlig,Nej,Nej,,,,
,Fas 13,Game Won,F13-03,Save raderas,Save borta,Nej,Nej,,,,
,Fas 13,Game Won,F13-04,Tillbaka till meny fungerar,Meny fungerar,Nej,Nej,,,,
